Table 4: Performances of the different libraries

Precision
FLORES+,95% CI,97.81 -99.74,97.55 - 99.17,91.71 - 94.97,96.03 - 99.04,76.40 - 86.86,97.90 - 99.14,97.35 - 99.04
Tatoeba,Macro,72.71,70.27,77.46,66.23,51.82,57.2,57.85
Tatoeba,Micro,96.47,94.05,87.09,93.03,93.77,95.62,84.78
Tatoeba,95% CI,66.94 -80.34,63.41 - 76.86,69.47 - 84.54,59.15 - 73.04,46.60 - 58.93,50.56 - 63.65,51.54 - 63.35
OpenSubtitles,Macro,91.62,91.47,91.08,91.01,85.78,89.24,90.93
OpenSubtitles,Micro,92.7,94.86,93.18,93.07,86.87,93.23,92.46
OpenSubtitles,95% CI,87.25 - 96.11,86.47 - 95.86,86.23 - 94.95,85.95 - 95.07,81.99 - 91.12,83.58 - 94.16,86.13 - 95.09

Specificity
Benchmark,Type,BERT,ldw20k BERT,CLD3,ldw10k CLD3,fastText,GlotLID,ldw20k fastText
WiLI,Macro,99.98,99.99,99.96,99.98,99.83,99.99,99.98
WiLI,Micro,99.98,99.99,99.96,99.98,99.88,99.99,99.98
WiLI,95% CI,99.98 - 99.99,99.98 - 99.99,99.94 - 99.98,99.96 - 99.99,99.74 - 99.91,99.98 - 99.99,99.96 - 99.99
FLORES+,Macro,99.98,99.98,99.92,99.98,99.84,99.99,99.99
FLORES+,Micro,99.99,99.98,99.92,99.97,99.9,99.99,99.99
FLORES+,95% CI,99.97 -100.00,99.98 - 99.99,99.90 - 99.94,99.96 - 99.99,99.75 - 99.91,99.99 - 100.00,99.98 - 100.00
Tatoeba,Macro,99.97,99.94,99.86,99.93,99.96,99.98,99.9
Tatoeba,Micro,99.96,99.94,99.88,99.93,99.96,99.98,99.91
Tatoeba,95% CI,99.97 -99.99,99.90 - 99.97,99.82 - 99.90,99.89 - 99.97,99.94 - 99.98,99.97 - 99.99,99.83 - 99.95
OpenSubtitles,Macro,99.95,99.93,99.91,99.91,99.87,99.96,99.95
OpenSubtitles,Micro,99.93,99.95,99.93,99.93,99.92,99.98,99.95
OpenSubtitles,95% CI,99.93 - 100.00,99.88 - 99.98,99.84 - 99.96,99.82 - 99.97,99.79 - 99.93,99.94 - 99.99,99.90 - 99.99
